AREA,NAME,POPU2009,YEARREGIST,AreaKmSq,Name2,Name2_1,OBJECTID_1,OBJECTID,Id,SOURCETHM,Shape_Leng,PERIMETER,KENSUBS_ID,KENSUBS_1,KENSUBS__1,SLID,SLNAME,LOCID,LOCNAME,DIVID,DIVNAME,DISTID,DISTNAME,PROVID,PROVNAME,AREA2,CONSTITUEN,CONSTI_COD,COUNT,SUM_HOUSEH,SUM_MALES,SUM_FEMALE,SUM_GRTOTA,Area_Sq_km,Shape_Le_1,Shape_Area,Category,Conservanc,sqkm,Ha,Acres,FID_New_am,PARKNEWDD_,PARKNEWDD1,PTA,FID_nation,AREANAME,ISO3,LAT,LON,DESIGNATE,GISNAME,SOURCE_ID,IUCNCAT,STATUS,SITE_CODE,COUNTRY,MARINE,POLY,ADMIN,MANAGEMENT,OWNER,EST_DATE,AREA_HA,NOTES,SOURCE,Z000_VISIT,VISTOR_HA,PERC_VISIT,AREA_SQKM_,FID_nati_1,AREANAME_1,ISO3_1,LAT_1,LON_1,DESIGNAT_1,GISNAME_1,SOURCE_I_1,IUCNCAT_1,STATUS_1,SHAPE_AR_1,SITE_COD_1,COUNTRY_1,MARINE_1,POLY_1,ADMIN_1,MANAGEME_1,OWNER_1,EST_DATE_1,AREA_HA_1,NOTES_1,SOURCE_1,Z000_VIS_1,VISTOR_H_1,PERC_VIS_1,AREA_SQKM1,Shape_Le_2,Hectares,XCOORD,YCOORD
715935000.0,Nakuprat-Gotu,5520,2010,716,,Nakuprat-Gotu,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.965887,0.671948
178968000.0,Ruko,3205,2006,179,,Ruko,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.146902,0.658889
553377000.0,Mpus Kutuk,8416,2007,553,,Mpus Kutuk,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.239276,0.605369
233979000.0,Shaba National Reserve,0,0,234,,Shaba National Reserve,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.839662,0.646436
175900000.0,Samburu National Reserve,0,0,176,,Samburu National Reserve,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.539009,0.612005
119931000.0,Buffalo National Reserve,0,0,120,,Buffalo National Reserve,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.606455,0.55843
341861000.0,Nasuulu,4262,2011,342,,Nasuulu,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.488279,0.487451
458281000.0,Naibunga,12193,2001,458,,Naibunga,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.035172,0.476967
154259000.0,Lekurruki,4820,1999,154,,Lekurruki,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.265718,0.470165
335998000.0,Leparua,8590,2011,336,,Leparua,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.449063,0.366857
