Area,Sample Size
Losessia, 66 
Laresoro, 17 
Lesurua, 17 
Lerata, 50 
Lololian, 33 
Ntilaah nursery, 17 
Sereolipi, 299 
Sereolipi, 299 
Kiwanja, 33 
Lbaa  Loitepes, 17 
Nairabalikon(Natanrei lpayianyi), 17 
Nalachau, 50 
Ntabasi, 33 
Police Post, 17 
Tourist camp, 17 
Town, 116 
Grand Total,365
