,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,hhld_structure,electricity,parafin.lamp,radio,tv,mobile,iron,fridge,generator,clock_watch,bed,sofa,kerosene_cooker,solar,bike,motorbike,truck_car,mosquito_net,panga,blanket,none_above,crop_sales,livestock_sales,milk_sales,meat_sales,business,firewood,charcoal,natural_resurces,specify,casual,salary,gifts,other,specify_other_income,who_crop_sales,who_livestock_sales,who_milk_sales,who_meat_sales,who_business,who_firewood,who_charcoal,who_natural_resurces,who_casual,who_salary,who_gifts,who_other,stones_crop_sales,stones_livestock_sales,stones_milk_sales,stones_meat_sales,stones_business,stones_firewood,stones_charcoal,stones_natural_resurces,stones_casual_labor,stones_salary,stones_gifts,stones_other,ksh_crop_sales,ksh_livestock_sales,ksh_milk_sales,ksh_meat_sales,ksh_business,ksh_firewood,ksh_charcoal,ksh_natural_resurces,ksh_casual_labor,ksh_salary,ksh_gifts,ksh_other,describe_income,compare_income,wellbeing,change_cause1,change_cause2,casual_work,no_cattle,no_donkeys,no_sheep,no_goats,no_camels,no_chicken,no_other,other_livestock,sell_cattle,why_cattle,sell_donkeys,why_donkeys,sell_sheep,why_sheep,sell_goats,why_goats,sell_camels,why_camels,sell_chicken,why_chicken,sell_other,what_sell_other,why_other,sick_livestock,sell_milk,quantity,units,sell_eggs,no_eggs
11,elkekorok003,337,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,337,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,1,0,0,0,0,NA,0,0,0,0,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,3,0,0,0,0,0,0,0,0,0,20000,600,18000,0,0,0,0,0,0,0,0,2,1,1,good market and sercuity,NA,2,10,2,8,6,2,0,2,dogs,2,feed the children,0,NA,2,feed the children,0,NA,1,medical bill,0,NA,0,NA,NA,1,2,20,cups,NA,NA
12,elkekorok003,337,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,337,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,1,0,0,0,0,NA,0,0,0,0,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,3,0,0,0,0,0,0,0,0,0,20000,600,18000,0,0,0,0,0,0,0,0,2,1,1,good market and sercuity,NA,2,10,2,8,6,2,0,2,dogs,2,feed the children,0,NA,2,feed the children,0,NA,1,medical bill,0,NA,0,NA,NA,1,2,20,cups,NA,NA
13,golgoltim001,65,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,1,0,0,0,NA,NA,2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,0,2,0,0,0,0,5,0,3,0,0,0,0,18000,0,3600,0,0,0,0,3600,0,0,0,2,2,1,availability of local markets,security improvement,1,2,0,5,7,0,6,0,NA,1,to cater food for the family,0,NA,2,for school fees,3,for buying livestock medicine,0,NA,2,to buy medicine for sick children,0,NA,NA,2,1,NA,NA,NA,NA
14,golgoltim001,65,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,1,0,0,0,NA,NA,2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,0,2,0,0,0,0,5,0,3,0,0,0,0,18000,0,3600,0,0,0,0,3600,0,0,0,2,2,1,availability of local markets,security improvement,1,2,0,5,7,0,6,0,NA,1,to cater food for the family,0,NA,2,for school fees,3,for buying livestock medicine,0,NA,2,to buy medicine for sick children,0,NA,NA,2,1,NA,NA,NA,NA
15,golgoltim002,66,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,66,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3,0,0,0,0,0,0,0,0,0,0,6000,300,0,0,0,0,0,0,0,0,0,2,2,1,improvement of sercuity and infrastructure,NA,1,7,0,5,20,0,3,0,NA,10,for school fees,0,NA,0,NA,3,for school fees,0,NA,2,domestic use,0,NA,NA,2,1,NA,NA,NA,NA
16,golgoltim002,66,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,66,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3,0,0,0,0,0,0,0,0,0,0,6000,300,0,0,0,0,0,0,0,0,0,2,2,1,improvement of sercuity and infrastructure,NA,1,7,0,5,20,0,3,0,NA,10,for school fees,0,NA,0,NA,3,for school fees,0,NA,2,domestic use,0,NA,NA,2,1,NA,NA,NA,NA
17,golgoltim003,67,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,0,0,0,0,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,6,0,0,0,2,2,0,0,0,0,0,0,18000,0,0,0,1200,2400,0,0,0,0,0,2,2,1,good security,lolkuriyani market benefits,2,2,0,3,4,0,0,0,NA,1,for construction of the house,0,NA,1,for food,5,for school fees,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
18,golgoltim003,67,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,0,0,0,0,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,6,0,0,0,2,2,0,0,0,0,0,0,18000,0,0,0,1200,2400,0,0,0,0,0,2,2,1,good security,lolkuriyani market benefits,2,2,0,3,4,0,0,0,NA,1,for construction of the house,0,NA,1,for food,5,for school fees,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
19,golgoltim004,68,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,68,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,4800,4500,2400,0,0,0,2,3,1,availability of local markets,availability of security,1,5,0,10,10,0,7,0,NA,4,for school fees,0,NA,4,for school fees,5,for school fees,0,NA,6,for visiting student at school,0,NA,NA,2,1,NA,NA,NA,NA
20,golgoltim004,68,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,68,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,4800,4500,2400,0,0,0,2,3,1,availability of local markets,availability of security,1,5,0,10,10,0,7,0,NA,4,for school fees,0,NA,4,for school fees,5,for school fees,0,NA,6,for visiting student at school,0,NA,NA,2,1,NA,NA,NA,NA
