,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,wilidlife_cost_benefits,importance,problems,wildlife_problem1,wildlife_problem2,wildlife_problem3,wildlife_problem4,wildlife_problem5,other_wildlife,problem_trend,positive_conservation1,positive_conservation2,positive_conservation3,other_positive,negative_conservation1,negative_conservation2,negative_conservation3,other_negative,population
30,golgoltim009,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,73,1,3,2,1,2,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,not yet seen in the impact,NA
31,kiwanja 001,18,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,18,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
32,kiwanja 002,19,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,19,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,1,2,NA,NA,NA
33,kiwanja 003,20,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,20,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,3,NA,1,2,NA,NA,NA
34,kiwanja 004,21,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,21,2,3,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,3,NA,NA,no problem,NA
35,kiwanja 005,22,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,22,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
36,kiwanja 006,23,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,23,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
37,kiwanja 007,24,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,24,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
38,kiwanja 008,25,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,25,98,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
39,kiwanja 009,26,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,26,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
40,kiwanja 010,27,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,27,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
41,kiwanja 011,28,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,28,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
42,kiwanja 012,29,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,29,98,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
43,kiwanja 013,30,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,30,98,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
44,kiwanja 014,31,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,31,2,3,2,1,2,4,5,NA,NA,1,1,2,NA,NA,3,NA,NA,"insecurity,lack of weapon",NA
45,kiwanja 015,32,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,32,98,3,2,1,2,3,4,5,NA,1,1,2,NA,NA,3,NA,NA,no problem,NA
46,kiwanja 016,33,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,33,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
47,kiwanja 017,186,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,186,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
48,kiwanja 018,187,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,187,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
49,kiwanja 019,188,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,188,2,3,2,1,2,3,5,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
50,kiwanja 020,189,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,189,2,3,2,1,2,4,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
51,kiwanja 021,190,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,190,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
52,kiwanja 022,191,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,191,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,3,NA,NA,no problem,NA
53,kiwanja 023,192,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,192,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
54,kiwanja 024,193,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,193,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
55,kiwanja 025,194,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,194,2,3,2,2,4,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
56,kiwanja 026,195,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,195,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
57,kiwanja 027,196,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,196,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
