,hhid,index.x,security_status,feel_safe,conflict1,conflict2,conflict3,conflict4,conflict5,conflict6,other_conflict,conflict_rank1,conflict_rank2,conflict_rank3,index.y,date,ccy,location,sublocation,village,survey_type,nrt
37,golgoltim004,68,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,68,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
38,golgoltim004,68,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,68,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
39,golgoltim004,68,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,68,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
40,golgoltim004,68,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,68,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
41,golgoltim005,69,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
42,golgoltim005,69,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
43,golgoltim005,69,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
44,golgoltim005,69,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
45,golgoltim006,70,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
46,golgoltim006,70,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
47,golgoltim006,70,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
48,golgoltim006,70,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
49,golgoltim007,71,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
50,golgoltim007,71,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
51,golgoltim007,71,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
52,golgoltim007,71,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
53,golgoltim008,72,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
54,golgoltim008,72,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
55,golgoltim008,72,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
56,golgoltim008,72,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT
57,golgoltim009,73,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
58,golgoltim009,73,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
59,golgoltim009,73,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
60,golgoltim009,73,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT
61,kiwanja 001,18,1,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,18,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
62,kiwanja 002,19,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,19,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
63,kiwanja 003,20,1,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,20,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
64,kiwanja 004,21,1,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,21,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
65,kiwanja 005,22,1,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,22,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
66,kiwanja 006,23,1,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,23,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
67,kiwanja 007,24,1,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,24,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
68,kiwanja 008,25,1,2,1,3,5,NA,NA,NA,NA,NA,NA,NA,25,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
69,kiwanja 009,26,1,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,26,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
70,kiwanja 010,27,1,2,6,5,1,NA,NA,NA,NA,NA,NA,NA,27,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
71,kiwanja 011,28,1,2,6,2,4,NA,NA,NA,NA,NA,NA,NA,28,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
72,kiwanja 012,29,1,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,29,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
73,kiwanja 013,30,1,2,3,6,5,NA,NA,NA,NA,NA,NA,NA,30,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
74,kiwanja 014,31,1,2,4,6,2,NA,NA,NA,NA,NA,NA,NA,31,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
75,kiwanja 015,32,1,2,4,3,6,NA,NA,NA,NA,NA,NA,NA,32,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
76,kiwanja 016,33,1,2,4,1,6,NA,NA,NA,NA,NA,NA,NA,33,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
77,kiwanja 017,186,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,186,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
78,kiwanja 018,187,1,2,4,3,6,NA,NA,NA,NA,NA,NA,NA,187,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
79,kiwanja 019,188,1,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,188,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
80,kiwanja 020,189,1,2,4,2,5,NA,NA,NA,NA,NA,NA,NA,189,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
81,kiwanja 021,190,1,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,190,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
82,kiwanja 022,191,1,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,191,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
83,kiwanja 023,192,1,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,192,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
84,kiwanja 024,193,1,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,193,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
85,kiwanja 025,194,1,2,4,6,3,NA,NA,NA,NA,NA,NA,NA,194,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
86,kiwanja 026,195,1,2,4,5,2,NA,NA,NA,NA,NA,NA,NA,195,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
87,kiwanja 027,196,1,2,4,2,6,NA,NA,NA,NA,NA,NA,NA,196,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
88,kiwanja 028,197,1,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,197,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
89,kiwanja 029,198,1,2,4,5,2,NA,NA,NA,NA,NA,NA,NA,198,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
90,kiwanja 030,199,1,2,4,5,6,NA,NA,NA,NA,NA,NA,NA,199,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
91,kiwanja 031,200,1,2,4,5,3,NA,NA,NA,NA,NA,NA,NA,200,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
92,kiwanja 032,201,1,2,5,4,6,NA,NA,NA,NA,NA,NA,NA,201,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
93,kiwanja 033,202,1,2,4,5,6,NA,NA,NA,NA,NA,NA,NA,202,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT
94,lakiji006,36,3,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
95,lakiji006,36,3,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
96,lakiji006,36,3,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
97,lakiji006,36,3,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
98,latipai001,226,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
99,latipai001,226,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
100,latipai001,226,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
