,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,eat_meat,drink_milk,sick_adults,sick_children,medical_services1,medical_services2,medical_services3,medical_services4,visit,no_times,water_wet_season1,water_wet_season2,water_wet_season3,water_wet_season4,water_wet_season5,important_wet_water,important_wet_water2,important_wet_water3,water_dry_season1,water_dry_season2,water_dry_season3,water_dry_season4,water_dry_season5,important_dry_water,important_dry_water2,important_dry_water3,hours_wet_season,hours_dry_season
24,golgoltim006,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,70,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
25,golgoltim007,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,71,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
26,golgoltim007,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,71,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
27,golgoltim008,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,72,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
28,golgoltim008,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,72,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
29,golgoltim009,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,73,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
30,golgoltim009,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,73,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
31,kiwanja 001,18,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,18,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
32,kiwanja 002,19,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,19,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,2,2
33,kiwanja 003,20,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,20,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
34,kiwanja 004,21,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,21,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
35,kiwanja 005,22,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,22,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
36,kiwanja 006,23,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,23,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
37,kiwanja 007,24,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,24,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
38,kiwanja 008,25,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,25,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
39,kiwanja 009,26,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,26,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
40,kiwanja 010,27,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,27,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,11,12,NA,12,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.33,1
41,kiwanja 011,28,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,28,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
42,kiwanja 012,29,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,29,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,3,6,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.5,1
43,kiwanja 013,30,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,30,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,6,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
