,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,eat_meat,drink_milk,sick_adults,sick_children,medical_services1,medical_services2,medical_services3,medical_services4,visit,no_times,water_wet_season1,water_wet_season2,water_wet_season3,water_wet_season4,water_wet_season5,important_wet_water,important_wet_water2,important_wet_water3,water_dry_season1,water_dry_season2,water_dry_season3,water_dry_season4,water_dry_season5,important_dry_water,important_dry_water2,important_dry_water3,hours_wet_season,hours_dry_season
432,lorian002,60,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,60,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2
433,lorian003,61,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,61,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2
434,lorian003,61,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,61,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2
435,lorian004,62,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,62,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
436,lorian004,62,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,62,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
437,lorian005,63,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,63,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
438,lorian005,63,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,63,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
439,lorian006,64,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,64,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
440,lorian006,64,24/06/15,namunyak,ngilai west,golgoltim,lorian,baseline,NRT,64,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
441,loruko001,74,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,74,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
442,loruko001,74,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,74,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
443,loruko002,75,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,75,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
444,loruko002,75,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,75,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2.5
445,loruko003,76,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,76,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2
446,loruko003,76,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,76,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,2
447,loruko004,77,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,77,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
448,loruko004,77,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,77,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
449,loruko005,78,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,78,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
450,loruko005,78,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,78,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
451,loruko006,79,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,79,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
452,loruko006,79,25/06/15,namunyak,ngilai west,golgoltim,loruko ,baseline,NRT,79,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
453,losiamante001,237,28/06/15,namunyak,nkare narok,ndikir nanyekie,losiamante,baseline,NRT,237,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,5,NA,NA,0,2
454,losiamante001,237,28/06/15,namunyak,nkare narok,ndikir nanyekie,losiamante,baseline,NRT,237,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,5,NA,NA,0,2
455,losiamante002,238,28/06/15,namunyak,nkare narok,ndikir nanyekie,losiamante,baseline,NRT,238,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,0,3
456,losiamante002,238,28/06/15,namunyak,nkare narok,ndikir nanyekie,losiamante,baseline,NRT,238,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,0,3
457,losiamante003,239,28/06/15,namunyak,nkare narok,ndikir nanyekie,losiamante,baseline,NRT,239,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,2
458,losiamante003,239,28/06/15,namunyak,nkare narok,ndikir nanyekie,losiamante,baseline,NRT,239,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,2
459,losike001,240,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,240,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,8,NA,NA,0.5,4
460,losike001,240,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,240,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,8,NA,NA,0.5,4
461,losike002,241,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,241,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,2,2
462,losike002,241,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,241,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,2,2
463,losike003,242,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,242,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,8,NA,NA,0.833,4
464,losike003,242,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,242,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,8,NA,NA,0.833,4
465,losike004,243,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,243,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,5,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.67,4
466,losike004,243,24/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,243,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,5,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.67,4
467,losike005,244,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,244,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,2,3
468,losike005,244,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,244,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,2,3
469,losike006,245,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,245,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,5,NA,NA,1,5
470,losike006,245,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,245,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,8,NA,NA,8,5,NA,NA,NA,5,NA,NA,1,5
471,losike007,246,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,246,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,2
472,losike007,246,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,246,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,2
473,losike008,247,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,247,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,2,3
474,losike008,247,25/06/15,namunyak,nkare narok,nkare narok,losike,baseline,NRT,247,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,2,3
475,lowaiobo001,279,23/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,279,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,8,NA,NA,NA,NA,8,NA,NA,4,4
476,lowaiobo001,279,23/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,279,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,8,NA,NA,NA,NA,8,NA,NA,4,4
477,lowaiobo002,280,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,280,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,4
478,lowaiobo002,280,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,280,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,4
479,lowaiobo003,281,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,281,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,5,8,NA,NA,NA,5,NA,NA,1,4
480,lowaiobo003,281,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,281,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,5,8,NA,NA,NA,5,NA,NA,1,4
481,lowaiobo004,282,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,282,2,2,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,3
482,lowaiobo004,282,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,282,2,2,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,3
483,lowaiobo005,283,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,283,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,4
484,lowaiobo005,283,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,283,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,4
485,lowaiobo006,284,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,284,2,2,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,4
486,lowaiobo006,284,24/06/15,namunyak,sarara,sarara,lowaiobo,baseline,NRT,284,2,2,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,10,NA,NA,5,NA,NA,NA,NA,5,NA,NA,0,4
487,lpashe001,314,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,314,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,8,NA,NA,8,NA,NA,0.5,1
488,lpashe001,314,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,314,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,8,NA,NA,8,NA,NA,0.5,1
489,lpashe002,315,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,315,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,5,8,NA,NA,NA,8,NA,NA,0.5,1
490,lpashe002,315,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,315,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,5,8,NA,NA,NA,8,NA,NA,0.5,1
491,lpashe003,316,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,316,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,8,NA,NA,8,NA,NA,0.5,1.5
492,lpashe003,316,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,316,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,8,NA,NA,8,NA,NA,0.5,1.5
493,lpashe004,317,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,317,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,10,NA,NA,5,NA,NA,0.5,1
494,lpashe004,317,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,317,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,10,NA,NA,5,NA,NA,0.5,1
495,lpashe005,318,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,318,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,8,NA,NA,5,NA,NA,0.5,2
496,lpashe005,318,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,318,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,5,6,8,NA,NA,5,NA,NA,0.5,2
497,lpashe006,319,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,319,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,NA,NA,3,NA,NA,5,6,NA,NA,NA,5,NA,NA,1,2
498,lpashe006,319,21/06/15,namunyak,wamba,matakwani,lpashe,baseline,NRT,319,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,NA,NA,3,NA,NA,5,6,NA,NA,NA,5,NA,NA,1,2
499,lpus001,92,15/11/15,meibae ,lodungokwe,lpus,junction,baseline,NRT,92,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,6
500,lpus001,92,15/11/15,meibae ,lodungokwe,lpus,junction,baseline,NRT,127,1,1,1,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,8,NA,NA,NA,NA,NA,9,10,6,0.17,5
501,lpus001,92,15/11/15,meibae ,lodungokwe,lpus,junction,baseline,NRT,82,2,2,1,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,11,6,1,3
502,lpus001,127,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,92,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,6
503,lpus001,127,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,127,1,1,1,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,8,NA,NA,NA,NA,NA,9,10,6,0.17,5
504,lpus001,127,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,82,2,2,1,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,11,6,1,3
505,lpus001,82,14/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,92,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,6
506,lpus001,82,14/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,127,1,1,1,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,8,NA,NA,NA,NA,NA,9,10,6,0.17,5
507,lpus001,82,14/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,82,2,2,1,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,11,6,1,3
508,lpus002,93,15/11/15,meibae ,lodungokwe,lpus,junction,baseline,NRT,93,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,2
509,lpus002,93,15/11/15,meibae ,lodungokwe,lpus,junction,baseline,NRT,128,2,1,1,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,5,12,8,NA,NA,NA,NA,NA,6,9,10,1,6
510,lpus002,128,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,93,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,2
511,lpus002,128,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,128,2,1,1,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,5,12,8,NA,NA,NA,NA,NA,6,9,10,1,6
512,lpus003,129,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,129,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,12,5,8,NA,NA,NA,NA,NA,6,10,NA,1,8
513,lpus003,129,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,94,1,1,1,2,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,1
514,lpus003,94,15/11/15,meibae ,lodungokwe,lpus,junction,baseline,NRT,129,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,12,5,8,NA,NA,NA,NA,NA,6,10,NA,1,8
515,lpus003,94,15/11/15,meibae ,lodungokwe,lpus,junction,baseline,NRT,94,1,1,1,2,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,1
516,lpus004,95,15/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,95,2,2,2,1,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,6
517,lpus004,95,15/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,130,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,12,5,10,NA,NA,NA,NA,NA,8,6,10,0.33,7
518,lpus004,130,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,95,2,2,2,1,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,6
519,lpus004,130,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,130,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,12,5,10,NA,NA,NA,NA,NA,8,6,10,0.33,7
520,lpus005,131,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,131,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,12,10,NA,NA,NA,NA,NA,8,6,NA,0.25,6
521,lpus005,131,16/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,96,2,2,1,2,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,6
522,lpus005,96,15/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,131,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,12,10,NA,NA,NA,NA,NA,8,6,NA,0.25,6
523,lpus005,96,15/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,96,2,2,1,2,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,6
524,lpus006,97,15/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,97,2,1,2,2,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,10,11,0,6
525,lpus006,97,15/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,132,2,1,2,1,NA,NA,NA,4,2,3,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,6,NA,0.25,6.5
526,lpus006,132,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,97,2,1,2,2,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,10,11,0,6
527,lpus006,132,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,132,2,1,2,1,NA,NA,NA,4,2,3,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,6,NA,0.25,6.5
528,lpus007,133,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,133,2,1,2,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,6,NA,0.17,6
529,lpus007,133,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,98,2,1,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,4
530,lpus007,98,16/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,133,2,1,2,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,6,NA,0.17,6
531,lpus007,98,16/11/15,meibae ,lodungokwe,lpus,lolchai,baseline,NRT,98,2,1,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0,4
532,lpus008,134,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,134,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,12,5,10,NA,NA,NA,NA,NA,8,6,NA,0.5,7
533,lpus008,134,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,99,1,1,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.33,4
534,lpus008,99,16/11/15,meibae ,lodungokwe,lpus,lekupe,baseline,NRT,134,2,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,12,5,10,NA,NA,NA,NA,NA,8,6,NA,0.5,7
535,lpus008,99,16/11/15,meibae ,lodungokwe,lpus,lekupe,baseline,NRT,99,1,1,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.33,4
536,lpus009,100,16/11/15,meibae ,lodungokwe,lpus,lekupe,baseline,NRT,100,1,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.5,6
537,lpus009,100,16/11/15,meibae ,lodungokwe,lpus,lekupe,baseline,NRT,135,2,1,2,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,5,12,10,NA,NA,NA,NA,NA,8,6,NA,0.17,7
538,lpus009,135,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,100,1,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.5,6
539,lpus009,135,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,135,2,1,2,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,5,12,10,NA,NA,NA,NA,NA,8,6,NA,0.17,7
540,lpus010,101,16/11/15,meibae ,lodungokwe,lpus,lekupe,baseline,NRT,101,1,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.5,6
541,lpus010,101,16/11/15,meibae ,lodungokwe,lpus,lekupe,baseline,NRT,136,2,1,2,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,6,NA,0.17,8
542,lpus010,136,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,101,1,1,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.5,6
543,lpus010,136,17/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,136,2,1,2,1,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,8,6,NA,0.17,8
544,lpus011,102,17/11/15,meibae ,lodungokwe,lpus,Naarayani,baseline,NRT,102,2,1,1,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.08,6
545,lpus011,102,17/11/15,meibae ,lodungokwe,lpus,Naarayani,baseline,NRT,137,2,1,2,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,12,5,10,NA,NA,NA,NA,NA,8,6,NA,0.33,8
546,lpus011,137,19/11/15,meibae ,lodungokwe,lpus,lpus,baseline,NRT,102,2,1,1,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,10,12,NA,NA,NA,NA,NA,8,6,11,0.08,6
