,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,grazing_plan,plan_helpful,quality_grazing,follow_plan,no_reason,no_reason1,no_reason2,no_reason3,no_reason4,no_reason5,wet_hhld_livestock_out_ccy,dry_hhld_livestock_out_ccy,wet_no_cattle,wet_no_shoats,wet_no_camels,dry_no_cattle,dry_no_shoats,dry_no_camels,wet_area1,wet_area2,wet_area3,wet_area4,wet_area5,other_wet,dry_area1,dry_area2,dry_area3,dry_area4,dry_area5,other_dry,wet_outside_livestock,dry_outside_livestock,wet_outside_times,dry_outside_times,wet_outside_no,dry_outside_no
677,lturotobok001,338,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,lturotobok,baseline,NRT,338,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,50,100,2,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,2,5,7,11,12
678,lturotobok002,339,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,lturotobok,baseline,NRT,339,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,6,50,3,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,3,7,8,12
679,lturotobok002,339,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,lturotobok,baseline,NRT,339,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,6,50,3,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,3,7,8,12
680,lturotobok003,340,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,lturotobok,baseline,NRT,340,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,30,50,4,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,2,2,5,5,11
681,lturotobok003,340,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,lturotobok,baseline,NRT,340,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,30,50,4,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,2,2,5,5,11
682,Lucen001,47,15/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,47,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,24,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,3,NA,4,NA
683,Lucen002,48,15/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,48,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,5,5,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,2,NA,3,NA
684,Lucen003,49,15/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,49,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,100,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,2,NA,4,NA
685,lucen004,50,15/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,50,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,12,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,3,NA,4,NA
686,lucen005,51,15/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,51,2,3,4,1,2,10,NA,NA,NA,NA,1,2,NA,NA,NA,10,15,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,3,NA,4,NA
687,lucen006,52,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,52,2,3,4,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,10,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,3,NA,4,NA
688,lucen007,53,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,53,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,5,NA,4,NA
689,lucen008,54,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,54,2,3,4,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,4,NA,4,NA
690,lucen009,55,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,55,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,2,NA,2,NA
691,lucen010,56,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,56,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,2,NA,2,NA
692,lucen011,57,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,57,2,3,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,7,21,3,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,3,NA,3,NA
693,lucen012,58,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,58,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,30,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,2,NA,3,NA
694,lucen013,59,16/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,59,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,22,3,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,3,NA,3,NA
695,lucen014,60,17/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,60,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,30,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,seyia,2,1,3,NA,4,NA
696,lucen015,61,17/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,61,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,20,3,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,lorok lalawa,2,1,3,NA,3,NA
697,lucen016,62,17/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,62,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,11,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,3,NA,3,NA
698,lucen017,63,17/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,63,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,13,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,4,NA,3,NA
699,lucen018,64,17/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,64,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,6,29,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,3,NA,4,NA
700,lucen019,65,18/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,65,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,50,3,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,2,NA,3,NA
701,lucen020,66,18/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,66,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,20,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,4,NA,4,NA
702,lucen021,67,18/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,67,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,11,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,seyia,2,1,5,NA,6,NA
703,lucen022,68,18/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,68,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,60,3,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,marti,2,1,4,NA,6,NA
704,lucen023,69,18/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,69,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,15,40,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,marti,2,1,3,NA,3,NA
705,lucen024,70,19/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,70,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,50,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,3,NA,3,NA
706,lucen025,71,19/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,71,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,55,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,4,NA,4,NA
707,lucen026,72,19/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,72,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,60,7,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,seyia,2,1,3,NA,2,NA
708,lucen027,73,19/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,73,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,35,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,seyia,2,1,4,NA,3,NA
709,lucen028,74,19/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,74,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,60,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,3,NA,2,NA
710,lucen029,75,20/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,75,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,13,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,seyia,2,1,3,NA,5,NA
711,lucen030,76,20/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,76,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,50,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,seyia,2,1,3,NA,3,NA
712,lucen031,77,20/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,77,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,30,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,seyia,2,1,3,NA,2,NA
713,lucen032,78,20/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,78,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,60,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,2,NA,4,NA
714,lucen033,79,20/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,79,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,16,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,parsilinga,2,1,2,NA,2,NA
715,lucen034,80,21/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,80,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,3,NA,2,NA
716,lucen035,81,21/11/15,meibae ,nkaroni,nkaroni,Lekiji,baseline,NRT,81,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,48,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,3,NA,3,NA
717,Lusen001,232,16/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,232,2,3,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,8,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
718,Lusen002,233,16/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,233,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,15,10,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,4,NA,3
719,Lusen003,234,16/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,234,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,15,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,4,NA,3
720,Lusen004,235,16/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,235,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,25,40,20,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,NA,5,NA,6
721,Lusen005,236,16/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,236,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,13,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,3,NA,3
722,Lusen006,237,17/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,237,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,20,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,3,NA,4
723,Lusen007,238,17/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,238,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,15,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,4,NA,6
724,Lusen008,239,17/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,239,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,10,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,4
725,Lusen009,240,17/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,240,2,2,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,10,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,2,NA,6,NA,6
726,Lusen010,241,17/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,241,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,10,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,3,NA,3
727,Lusen011,242,18/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,242,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,10,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
728,Lusen012,243,18/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,243,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,4
729,Lusen013,244,18/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,244,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,10,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,5
730,Lusen014,245,18/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,245,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,5,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,4
731,Lusen015,246,18/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,246,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,5,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
732,Lusen016,247,19/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,247,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,10,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,NA,2,NA,4
733,Lusen017,248,19/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,248,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,15,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,3
734,Lusen018,249,19/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,249,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,10,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,5,NA,5
735,Lusen019,250,19/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,250,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,15,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,5
736,Lusen020,251,19/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,251,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,5,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,4,NA,5
737,Lusen021,252,20/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,252,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,20,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,5,NA,5
738,Lusen022,253,20/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,253,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,10,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,4,NA,5
739,Lusen023,254,20/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,254,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,15,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,5,NA,5
740,Lusen024,255,20/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,255,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,20,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,5,NA,5
741,Lusen025,256,20/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,256,2,3,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
742,Lusen026,257,21/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,257,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,6,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
743,Lusen027,258,21/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,258,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,5,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
744,Lusen028,259,21/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,259,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,20,30,15,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,5,NA,6
745,Lusen029,260,21/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,260,2,3,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,5
746,Lusen030,261,21/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,261,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,5
747,Lusen031,262,23/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,262,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,5,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
748,Lusen032,263,23/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,263,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,5
749,Lusen033,264,23/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,264,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,4,NA,5
750,Lusen034,265,23/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,265,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,5
751,Lusen035,266,23/11/15,meibae ,Nkaroni,Nkaroni,Seramiti,baseline,NRT,266,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,20,10,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,5,NA,5
752,Lussen001,267,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,267,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,6,50,3,3,NA,NA,NA,NA,NA,1,2,3,NA,NA,sunya,2,1,1,NA,10,NA
753,Lussen001,267,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,314,2,3,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,25,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,4,NA
754,Lussen001,314,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,267,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,6,50,3,3,NA,NA,NA,NA,NA,1,2,3,NA,NA,sunya,2,1,1,NA,10,NA
755,Lussen001,314,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,314,2,3,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,25,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,4,NA
756,lussen002,83,14/11/15,meibae ,nkaroni,nkaroni,lussen,baseline,NRT,83,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,5,30,2,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,1,2,NA,6,NA
757,Lussen002,268,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,268,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,133,7,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,1,1,NA,7,NA
758,Lussen002,268,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,315,2,3,4,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,14,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,4,NA
759,Lussen002,315,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,268,2,2,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,133,7,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,1,1,NA,7,NA
760,Lussen002,315,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,315,2,3,4,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,14,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,4,NA
761,Lussen003,269,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,269,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,15,38,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,Mparuai,2,1,1,NA,10,NA
762,Lussen003,269,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,316,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,3,6,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,12,NA
763,Lussen003,316,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,269,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,15,38,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,Mparuai,2,1,1,NA,10,NA
764,Lussen003,316,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,316,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,3,6,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,12,NA
765,Lussen004,317,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,317,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,17,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,11,NA
766,Lussen004,317,15/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,270,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,30,120,30,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,4,NA
767,Lussen004,270,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,317,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,17,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,11,NA
768,Lussen004,270,15/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,270,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,30,120,30,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,4,NA
769,Lussen005,271,16/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,271,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,6,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,7,NA
770,Lussen005,271,16/11/15,meibae ,Nkaroni,Nkaroni,Narokwe,baseline,NRT,318,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,20,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,2,NA,3,NA
771,Lussen005,318,16/11/15,meibae ,Nkaroni,Nkaroni,Ndikir,baseline,NRT,271,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,6,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,1,NA,7,NA
