,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,grazing_plan,plan_helpful,quality_grazing,follow_plan,no_reason,no_reason1,no_reason2,no_reason3,no_reason4,no_reason5,wet_hhld_livestock_out_ccy,dry_hhld_livestock_out_ccy,wet_no_cattle,wet_no_shoats,wet_no_camels,dry_no_cattle,dry_no_shoats,dry_no_camels,wet_area1,wet_area2,wet_area3,wet_area4,wet_area5,other_wet,dry_area1,dry_area2,dry_area3,dry_area4,dry_area5,other_dry,wet_outside_livestock,dry_outside_livestock,wet_outside_times,dry_outside_times,wet_outside_no,dry_outside_no
21,golgoltim005,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,69,2,3,1,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,2,2,2,2
22,golgoltim005,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,69,2,3,1,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,2,2,2,2
23,golgoltim006,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,70,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,2,20,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,2
24,golgoltim006,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,70,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,2,20,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,2
25,golgoltim007,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,71,2,3,1,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,2
26,golgoltim007,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,71,2,3,1,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,2
27,golgoltim008,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,72,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,15,47,5,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,4
28,golgoltim008,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,72,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,15,47,5,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,4
29,golgoltim009,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,73,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,15,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,2
30,golgoltim009,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,73,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,15,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,2
31,kiwanja 001,18,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,18,2,3,2,1,he did not have any livestock,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,10
32,kiwanja 002,19,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,19,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,7,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,9
33,kiwanja 003,20,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,20,1,NA,NA,1,she does not have animals to graze,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,7
34,kiwanja 004,21,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,21,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,70,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,8
35,kiwanja 005,22,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,22,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,100,200,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
36,kiwanja 006,23,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,23,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,3,50,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
37,kiwanja 007,24,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,24,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,10,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
38,kiwanja 008,25,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,25,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,10,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
39,kiwanja 009,26,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,26,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,3,13,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
40,kiwanja 010,27,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,27,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,20,200,10,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,9
41,kiwanja 011,28,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,28,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,40,66,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,9
42,kiwanja 012,29,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,29,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,2,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,8
43,kiwanja 013,30,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,30,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,9
44,kiwanja 014,31,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,31,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,15,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,8
45,kiwanja 015,32,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,32,1,NA,NA,NA,she has few animal that did nr require grazin plan,NA,NA,NA,NA,NA,1,2,0,0,0,0,8,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
46,kiwanja 016,33,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,33,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,17,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
47,kiwanja 017,186,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,186,1,NA,NA,NA,not must to have a plan what important is animals to graze,NA,NA,NA,NA,NA,1,2,0,0,0,5,50,2,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,3,NA,12
48,kiwanja 018,187,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,187,1,NA,NA,1,it is not a must to have grazing plan,NA,NA,NA,NA,NA,1,2,0,0,0,0,15,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,3,NA,12
49,kiwanja 019,188,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,188,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,50,2,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
50,kiwanja 020,189,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,189,2,3,2,1,his animals not at home most of the time,NA,NA,NA,NA,NA,1,2,0,0,0,6,42,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
51,kiwanja 021,190,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,190,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,40,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
52,kiwanja 022,191,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,191,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,20,50,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
53,kiwanja 023,192,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,192,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,14,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
54,kiwanja 024,193,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,193,1,NA,NA,NA,she has few animals so it cant assist her,NA,NA,NA,NA,NA,1,2,0,0,0,0,5,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,12,12
55,kiwanja 025,194,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,194,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,12,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
56,kiwanja 026,195,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,195,1,NA,NA,NA,there is problem with community and conservancy,NA,NA,NA,NA,NA,1,2,0,0,0,1,16,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
57,kiwanja 027,196,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,196,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,2,50,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
58,kiwanja 028,197,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,197,1,NA,NA,NA,my animals are few not supposed to follow graze plan,NA,NA,NA,NA,NA,1,2,0,0,0,0,10,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
59,kiwanja 029,198,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,198,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,4,16,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
60,kiwanja 030,199,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,199,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,11,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
61,kiwanja 031,200,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,2,25,2,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,2,NA,12
62,kiwanja 032,201,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,201,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,30,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
63,kiwanja 033,202,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,202,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,1,3,1,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,1,NA,12
64,lakiji006,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,36,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,0,0,3,NA,NA,NA,NA,NA,2,3,5,NA,NA,NA,1,1,NA,NA,NA,NA
65,lakiji006,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,36,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,0,0,3,NA,NA,NA,NA,NA,2,3,5,NA,NA,NA,1,1,NA,NA,NA,NA
66,latipai001,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,226,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,50,30,0,3,NA,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,1,2,2,11
67,latipai001,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,226,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,50,30,0,3,NA,NA,NA,NA,NA,1,3,5,NA,NA,NA,2,2,1,2,2,11
68,latipai002,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,227,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,20,0,3,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,2,2,1,2,NA,10
69,latipai002,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,227,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,20,0,3,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,2,2,1,2,NA,10
70,latipai003,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,228,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,30,2,3,NA,NA,NA,NA,NA,1,3,5,NA,NA,NA,1,2,NA,2,NA,12
71,latipai003,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,228,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,30,2,3,NA,NA,NA,NA,NA,1,3,5,NA,NA,NA,1,2,NA,2,NA,12
72,lbaa lotepes 001,34,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,34,2,2,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,3,3,1,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,3,NA,8
73,lbaa lotepes 002,35,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,35,2,2,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,20,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,3,NA,7
